p_id,stim,type,rt
4,a,letter,369.73562043026794
4,1,number,341.3642305767186
4,3,number,285.09934806279574
4,b,letter,295.0630893275895
4,c,letter,319.291577107787
4,2,number,303.56879410709956
4,a,letter,316.176441805306
4,1,number,325.7416130034096
4,3,number,336.7331781667259
4,b,letter,289.23718352452823
4,c,letter,282.0727106354054
4,2,number,315.36820617030884
4,a,letter,301.8251835108847
4,1,number,329.5213766366429
4,3,number,312.8761512125641
4,b,letter,282.5096366464909
4,c,letter,335.43596753598473
4,2,number,282.95532257555874
4,a,letter,332.68587220891925
4,1,number,303.5503072824911
4,3,number,301.3128499752548
4,b,letter,336.3291255144417
4,c,letter,334.97896367947976
4,2,number,329.17472708254013
4,a,letter,273.75960962211417
4,1,number,299.5697082939832
4,3,number,290.6150761947
4,b,letter,309.8039186631329
4,c,letter,310.79799631730054
4,2,number,307.9770266548824
4,a,letter,313.8717558474896
4,1,number,315.31864298918634
4,3,number,294.26880124869575
4,b,letter,341.2520511275682
4,c,letter,292.4597918121297
4,2,number,290.56965859786146
4,a,letter,309.010501390936
4,1,number,299.49299105056775
4,3,number,346.0180309529519
4,b,letter,310.51880147140025
4,c,letter,293.1407607099809
4,2,number,333.9813140442615
4,a,letter,285.65210701014524
4,1,number,322.85266081490266
4,3,number,289.48852883344506
4,b,letter,340.7234476233895
4,c,letter,318.1047100041036
4,2,number,299.2994367371413
4,a,letter,304.64084126952673
4,1,number,340.0607701560896
4,3,number,335.6570815516822
4,b,letter,305.67174872660803
4,c,letter,330.92357280589476
4,2,number,348.2237986688713
4,a,letter,319.5538686837672
4,1,number,320.57225638053717
4,3,number,333.8851952747928
4,b,letter,300.7094347405987
4,c,letter,289.0211453899935
4,2,number,317.33571915493536
4,a,letter,306.5589428455816
4,1,number,366.63272993196756
4,3,number,305.9067608746509
4,b,letter,248.92435483997377
4,c,letter,322.5448440912557
4,2,number,304.2282958559623
4,a,letter,321.2524430317343
4,1,number,332.0089871908005
4,3,number,289.7747095815056
4,b,letter,322.9470246850799
4,c,letter,325.1022661232097
4,2,number,291.2084141374704
4,a,letter,338.93708734366504
4,1,number,310.46594756552673
4,3,number,298.340366956577
4,b,letter,286.37321393316154
4,c,letter,307.61420515580147
4,2,number,327.990069649048
4,a,letter,333.922996885078
4,1,number,341.1668177330869
4,3,number,307.8693201957961
4,b,letter,340.12487813363555
4,c,letter,353.8183246205192
4,2,number,309.68924562919597
4,a,letter,305.7840062950167
4,1,number,327.71503511713615
4,3,number,300.37290897737415
4,b,letter,320.6401797811582
4,c,letter,313.86987689399785
4,2,number,336.76517225941876
4,a,letter,293.46842532644223
4,1,number,338.42145462406796
4,3,number,294.44156015166186
4,b,letter,345.62039093215026
4,c,letter,303.04536140471026
4,2,number,314.8004461908622
4,a,letter,312.8231875524303
4,1,number,282.6677238277369
4,3,number,331.7955327331163
4,b,letter,312.27146985405983
4,c,letter,317.70104158755925
4,2,number,271.51662238133474
4,a,letter,308.70558260215734
4,1,number,343.98854587114573
4,3,number,308.3750745550139
4,b,letter,317.5848887111813
4,c,letter,349.8054052157272
4,2,number,323.3892743115302
4,a,letter,341.7315793601173
4,1,number,326.7427725141232
4,3,number,299.5743658144247
4,b,letter,306.74754793840793
4,c,letter,332.26945084114095
4,2,number,349.21713259489593
4,a,letter,326.8078100547097
4,1,number,318.5486877077797
4,3,number,328.66884598128905
4,b,letter,318.351470798478
4,c,letter,308.61874495072755
4,2,number,320.1260231676124
4,a,letter,310.67412716336185
4,1,number,311.0266287786669
4,3,number,283.5373295721235
4,b,letter,329.3180875929772
4,c,letter,284.2731962655641
4,2,number,341.99740104373126
4,a,letter,311.7957596644778
4,1,number,304.4798971463295
4,3,number,341.38280033122044
4,b,letter,307.4387820990185
4,c,letter,269.05825178871805
4,2,number,303.3169623944384
4,a,letter,320.723513085117
4,1,number,311.4278254149589
4,3,number,340.578939390828
4,b,letter,343.93825954542433
4,c,letter,307.2544910342201
4,2,number,281.07392251359414
4,a,letter,308.90101976803606
4,1,number,302.07596166013866
4,3,number,327.40233046278007
4,b,letter,294.1880617838858
4,c,letter,300.60126953859043
4,2,number,338.43036743336336
4,a,letter,311.43101396714735
4,1,number,336.96164867284995
4,3,number,333.84625029347905
4,b,letter,321.2736463702615
4,c,letter,329.53707970206267
4,2,number,324.26420094368547
4,a,letter,338.7525830610865
4,1,number,324.2851064434945
4,3,number,328.0037447400576
4,b,letter,312.30121476357033
4,c,letter,317.6447432964558
4,2,number,320.9226169347209
4,a,letter,323.9132926337307
4,1,number,346.75985797504603
4,3,number,301.024289879109
4,b,letter,311.52259569265993
4,c,letter,274.73052294725153
4,2,number,278.36596077296497
4,a,letter,296.6148499354627
4,1,number,325.6821650010373
4,3,number,309.0574223113172
4,b,letter,314.4012063840904
4,c,letter,274.47609927411287
4,2,number,314.2106376232785
4,a,letter,395.3955854912605
4,1,number,317.8184993278985
4,3,number,326.97165013402036
4,b,letter,321.10451169980917
4,c,letter,303.76936656403336
4,2,number,304.69898561025894
4,a,letter,322.4520688464102
4,1,number,312.65057613535146
4,3,number,283.01536679401977
4,b,letter,295.84694008156555
4,c,letter,319.8233058352747
4,2,number,303.1010928545426
4,a,letter,324.6731717865928
4,1,number,315.53121080733075
4,3,number,358.7214937840846
4,b,letter,300.04855276597186
4,c,letter,295.52196158615766
4,2,number,354.9306323933393
4,a,letter,325.0651021087492
4,1,number,299.2031422377483
4,3,number,334.043689688979
4,b,letter,325.16857949540963
4,c,letter,290.5088809083704
4,2,number,352.2237719176424
4,a,letter,297.50868499872297
4,1,number,320.0632299669733
4,3,number,328.6178374253581
4,b,letter,293.40384551192375
4,c,letter,270.2346580197175
