p_id,stim,type,rt
5,3,number,300.07073820702357
5,b,letter,225.80160266789179
5,2,number,286.62534680640596
5,c,letter,242.21210072508606
5,a,letter,234.1279926829901
5,1,number,261.9018765765748
5,3,number,304.9818078708218
5,b,letter,290.37188485029384
5,2,number,282.516497199495
5,c,letter,248.92211776709138
5,a,letter,314.9190228219114
5,1,number,258.60664590658394
5,3,number,270.54061336630434
5,b,letter,278.88157320980645
5,2,number,271.0974750179295
5,c,letter,303.3598288237352
5,a,letter,257.55930698691503
5,1,number,275.5835812385247
5,3,number,318.39786741541053
5,b,letter,273.7689042223884
5,2,number,236.17500227899149
5,c,letter,302.09327192818654
5,a,letter,247.69662410157537
5,1,number,262.6687104426518
5,3,number,286.1796030254263
5,b,letter,252.87363306250165
5,2,number,317.1169222331132
5,c,letter,233.47122711955535
5,a,letter,264.9598073842561
5,1,number,250.39291757453987
5,3,number,307.66904616529825
5,b,letter,280.5765431100279
5,2,number,267.4608202449892
5,c,letter,291.26121077965547
5,a,letter,287.8159831264821
5,1,number,285.19077716951114
5,3,number,257.8889553856019
5,b,letter,248.56177282871383
5,2,number,251.07992686281796
5,c,letter,254.28245298447047
5,a,letter,252.80473031814205
5,1,number,292.4219162923104
5,3,number,257.592954043717
5,b,letter,255.15665137805814
5,2,number,289.97975463980487
5,c,letter,290.0299537407863
5,a,letter,297.8970180800518
5,1,number,290.9391003318373
5,3,number,282.26730294681073
5,b,letter,264.481092475149
5,2,number,234.48312875854947
5,c,letter,272.44458985237077
5,a,letter,292.82768933488427
5,1,number,240.23472684844398
5,3,number,251.46479684797026
5,b,letter,257.5877401773991
5,2,number,262.801565605779
5,c,letter,259.3909045378594
5,a,letter,249.61502413181555
5,1,number,298.4013243214002
5,3,number,252.81650014916417
5,b,letter,267.35501126348674
5,2,number,275.442481154951
5,c,letter,251.60807627367907
5,a,letter,286.1966866263175
5,1,number,252.97680463248088
5,3,number,304.7388530098508
5,b,letter,278.4248084864235
5,2,number,271.6408381512734
5,c,letter,273.86537472581495
5,a,letter,277.9973617734145
5,1,number,280.8410280758202
5,3,number,247.23712007734696
5,b,letter,297.11819120818694
5,2,number,275.2831750215862
5,c,letter,269.6674082758527
5,a,letter,256.29831563530956
5,1,number,275.7026447216859
5,3,number,253.3738751236659
5,b,letter,273.37452870565664
5,2,number,291.25789771307063
5,c,letter,276.14058782757087
5,a,letter,302.6428652698371
5,1,number,261.6108276347069
5,3,number,288.9848058593509
5,b,letter,256.1024294375644
5,2,number,250.23722705292116
5,c,letter,265.7178173362693
5,a,letter,280.26081109391873
5,1,number,283.284917238011
5,3,number,287.17846295463846
5,b,letter,289.49506894642843
5,2,number,285.6365012787129
5,c,letter,260.1429619609899
5,a,letter,270.571835119213
5,1,number,283.60903189832965
5,3,number,270.486122181567
5,b,letter,261.3228984079479
5,2,number,277.0999804958786
5,c,letter,267.7125056447211
5,a,letter,325.8657132701184
5,1,number,270.46216895414716
5,3,number,256.9341003627599
5,b,letter,278.2943714137529
5,2,number,257.19317090241793
5,c,letter,257.2655971183213
5,a,letter,261.7229986171261
5,1,number,282.59733517260236
5,3,number,276.16960683921945
5,b,letter,280.5609735494831
5,2,number,304.0039271232249
5,c,letter,260.26853854964077
5,a,letter,287.00707764467853
5,1,number,250.3751276455068
5,3,number,283.8265601355839
5,b,letter,239.8858564105607
5,2,number,256.3683417466018
5,c,letter,256.2354030277369
5,a,letter,258.65562217577735
5,1,number,273.60337904022896
5,3,number,249.2270579073231
5,b,letter,259.87244202327696
5,2,number,262.8931903490693
5,c,letter,257.5843603718255
5,a,letter,232.06687398047166
5,1,number,275.58430716823034
5,3,number,298.8722500650806
5,b,letter,264.9830265527705
5,2,number,224.42394266128707
5,c,letter,258.48378886027785
5,a,letter,309.96571592703026
5,1,number,290.2311667720535
5,3,number,284.00545927552486
5,b,letter,269.51549177814974
5,2,number,246.06285449055443
5,c,letter,246.7844068679268
5,a,letter,267.13501514296655
5,1,number,288.8382725713226
5,3,number,258.79583499934375
5,b,letter,251.2577817975922
5,2,number,243.38288822670958
5,c,letter,274.2856349080311
5,a,letter,264.23001743292355
5,1,number,239.85083366755524
5,3,number,270.38401484596386
5,b,letter,281.6409333213411
5,2,number,261.3816010606909
5,c,letter,261.42851587643815
5,a,letter,289.3214304506918
5,1,number,286.02977035000464
5,3,number,274.9408777881554
5,b,letter,303.16566472543377
5,2,number,266.58927732860724
5,c,letter,264.07878275630924
5,a,letter,278.32814620814054
5,1,number,298.7925353856338
5,3,number,296.2784000056533
5,b,letter,260.72008647438724
5,2,number,293.44202978677765
5,c,letter,286.76936216506755
5,a,letter,250.88441353663802
5,1,number,277.69792426384873
5,3,number,301.47444342965673
5,b,letter,292.95241261643787
5,2,number,278.0471838234611
5,c,letter,288.79708407149155
5,a,letter,278.5720356382661
5,1,number,290.7699558678784
5,3,number,229.6950290361986
5,b,letter,284.9124210136152
5,2,number,276.0632145456696
5,c,letter,281.4968702488543
5,a,letter,264.12920957682485
5,1,number,301.41889822137665
