p_id,stim,type,rt
3,c,letter,292.8748940253405
3,3,number,293.52870889880245
3,2,number,303.3475041812371
3,1,number,350.44538391270396
3,a,letter,316.5372248567647
3,b,letter,310.8320148106912
3,c,letter,313.08364419106806
3,3,number,338.3354480296688
3,2,number,330.69310352293064
3,1,number,326.73007781068276
3,a,letter,280.3613609715203
3,b,letter,272.7861599911311
3,c,letter,320.6055126685292
3,3,number,322.3892552697858
3,2,number,329.5965630607256
3,1,number,278.5975015866959
3,a,letter,257.7164563857711
3,b,letter,303.3348900675598
3,c,letter,355.41144054073885
3,3,number,314.1905578685535
3,2,number,313.6647174514144
3,1,number,320.60881752624226
3,a,letter,322.2457628234284
3,b,letter,305.76820516718095
3,c,letter,313.0499912326471
3,3,number,322.1678474952892
3,2,number,312.7464626660164
3,1,number,305.81656074064523
3,a,letter,349.31496192760545
3,b,letter,335.67408514642403
3,c,letter,317.8284196673354
3,3,number,306.6992273147251
3,2,number,285.0739140791802
3,1,number,314.5582585489238
3,a,letter,307.4426726328694
3,b,letter,340.8622568635841
3,c,letter,322.3943966575734
3,3,number,338.18176759318715
3,2,number,295.18731280806423
3,1,number,303.19507248763784
3,a,letter,314.4597968394468
3,b,letter,297.5944281651709
3,c,letter,323.60302068299876
3,3,number,334.7988575417807
3,2,number,275.02446011158077
3,1,number,311.72571583007937
3,a,letter,271.5230235626675
3,b,letter,325.9520960803815
3,c,letter,298.7978211834547
3,3,number,327.2013408616012
3,2,number,370.2419190985917
3,1,number,312.6389757137231
3,a,letter,325.9121898506766
3,b,letter,316.67173122686694
3,c,letter,261.1911738793408
3,3,number,308.3254564048873
3,2,number,326.4643037655246
3,1,number,332.6015926896073
3,a,letter,308.41441408605493
3,b,letter,310.9743942135465
3,c,letter,298.3737968569321
3,3,number,329.24493092237276
3,2,number,302.4380966399456
3,1,number,312.49343728356814
3,a,letter,298.17986811436776
3,b,letter,290.32317720834817
3,c,letter,352.57831002577825
3,3,number,294.1912336382732
3,2,number,309.69654652186944
3,1,number,286.43436292973854
3,a,letter,311.7805907871199
3,b,letter,289.04246479904134
3,c,letter,308.3301921942416
3,3,number,286.90502516418996
3,2,number,309.63446187621344
3,1,number,303.0119874066637
3,a,letter,313.9956728810005
3,b,letter,285.75648333015283
3,c,letter,325.9660116804657
3,3,number,305.6559869149627
3,2,number,342.351623646433
3,1,number,318.1147874749419
3,a,letter,334.6477004265397
3,b,letter,320.3046665564316
3,c,letter,297.30613843689355
3,3,number,319.99973746834826
3,2,number,299.7093095738703
3,1,number,328.6061132919399
3,a,letter,306.8071733873911
3,b,letter,315.4026640952768
3,c,letter,296.9032930235866
3,3,number,298.98147162926807
3,2,number,298.798838977493
3,1,number,330.2187255794638
3,a,letter,306.4277677706091
3,b,letter,309.93023019032967
3,c,letter,313.1445633037576
3,3,number,298.27095862339183
3,2,number,347.2794996027184
3,1,number,305.92570785070205
3,a,letter,311.3299297788449
3,b,letter,310.5644277370398
3,c,letter,325.9316878869081
3,3,number,335.68152603609565
3,2,number,325.44380943000533
3,1,number,312.3803072413419
3,a,letter,337.7089187100939
3,b,letter,272.165852365679
3,c,letter,296.90708401407005
3,3,number,314.4473493421213
3,2,number,312.3013564850872
3,1,number,308.3825637523652
3,a,letter,294.7249919851365
3,b,letter,311.92940972359463
3,c,letter,321.1350484585399
3,3,number,307.99617404801046
3,2,number,294.07263721862796
3,1,number,329.3410648982752
3,a,letter,283.50566660748353
3,b,letter,312.7281904955446
3,c,letter,326.3036999068963
3,3,number,319.85862168395994
3,2,number,300.49722086959355
3,1,number,312.89870956239156
3,a,letter,297.45438898113474
3,b,letter,314.28862494603317
3,c,letter,299.7352173729417
3,3,number,303.582111810114
3,2,number,302.2124926810563
3,1,number,326.83110150298785
3,a,letter,273.19533583064134
3,b,letter,316.84348867117143
3,c,letter,277.2918203524848
3,3,number,320.26120597817794
3,2,number,322.02397269473653
3,1,number,327.32062654245954
3,a,letter,332.7603477630216
3,b,letter,344.32643161293083
3,c,letter,261.99033943789004
3,3,number,318.28862127837186
3,2,number,322.4919833983521
3,1,number,281.0377915686578
3,a,letter,323.12558150121015
3,b,letter,328.9859189257184
3,c,letter,341.0092887022688
3,3,number,315.4243925966602
3,2,number,300.4360688241765
3,1,number,334.2281389488916
3,a,letter,318.2979639586217
3,b,letter,315.45483223504795
3,c,letter,312.5717383357942
3,3,number,279.3635869101611
3,2,number,314.4256860110305
3,1,number,299.4484554814463
3,a,letter,309.01609028612427
3,b,letter,325.0266018978161
3,c,letter,315.3998966594297
3,3,number,285.85763596272113
3,2,number,297.5237725565515
3,1,number,316.2103317745255
3,a,letter,353.21069344765033
