p_id,stim,type,rt
2,3,number,244.02368092970812
2,b,letter,323.91055607998544
2,1,number,302.145663884675
2,a,letter,307.25075961930736
2,2,number,297.91785077913784
2,c,letter,315.4748904483099
2,3,number,264.00672811543564
2,b,letter,290.10366418631594
2,1,number,282.10524226290045
2,a,letter,296.99346542830983
2,2,number,267.30415884596846
2,c,letter,212.23175862047742
2,3,number,301.59631880439383
2,b,letter,257.23709783740844
2,1,number,298.26048271841995
2,a,letter,281.47665024893513
2,2,number,294.93175747810096
2,c,letter,255.48496859196842
2,3,number,310.4523203977279
2,b,letter,312.4872537911729
2,1,number,265.03574917573656
2,a,letter,262.6911367777797
2,2,number,272.1769605616961
2,c,letter,307.3080404156927
2,3,number,278.90673275630667
2,b,letter,267.49661012880244
2,1,number,298.4464761207554
2,a,letter,289.7634897571206
2,2,number,294.18716692622235
2,c,letter,256.8601986492152
2,3,number,301.3748059228549
2,b,letter,253.92293738066996
2,1,number,301.20289861127355
2,a,letter,231.87991793424573
2,2,number,291.70866826544363
2,c,letter,324.91794921741575
2,3,number,305.67730691091754
2,b,letter,287.23595706895367
2,1,number,251.1341986615317
2,a,letter,284.7118053447708
2,2,number,288.0724019975042
2,c,letter,271.30712946764265
2,3,number,287.1601244206749
2,b,letter,236.1692898161884
2,1,number,298.4383437917143
2,a,letter,284.6300365123927
2,2,number,249.83200748886196
2,c,letter,317.7410046607688
2,3,number,273.26638165780224
2,b,letter,283.98582058635907
2,1,number,281.1996969291918
2,a,letter,300.0763246958157
2,2,number,292.74055322918105
2,c,letter,280.0509130219854
2,3,number,251.04507718110892
2,b,letter,319.53256539573357
2,1,number,279.20644760123577
2,a,letter,277.92346906157644
2,2,number,289.03182541214613
2,c,letter,274.40968937453505
2,3,number,281.5966969767372
2,b,letter,296.54028662322327
2,1,number,271.19509955353294
2,a,letter,286.634132519406
2,2,number,266.1680477015494
2,c,letter,298.0761651430983
2,3,number,261.0243033440285
2,b,letter,291.0778177840962
2,1,number,307.0151477587726
2,a,letter,306.2370057206742
2,2,number,313.4032837461017
2,c,letter,289.5196309028148
2,3,number,299.1315047123923
2,b,letter,332.9452228778953
2,1,number,284.41599686436797
2,a,letter,261.7681467317025
2,2,number,300.9834782954841
2,c,letter,262.2766960082569
2,3,number,260.71704105707386
2,b,letter,275.022433227078
2,1,number,260.88638587833117
2,a,letter,286.7464596762369
2,2,number,256.40479057937637
2,c,letter,259.7601732209932
2,3,number,276.4958726303986
2,b,letter,253.32998873116176
2,1,number,315.712420547836
2,a,letter,300.1997867704233
2,2,number,290.55054666594424
2,c,letter,289.04555492830775
2,3,number,252.74832291439307
2,b,letter,280.2313208579855
2,1,number,270.89732118221593
2,a,letter,287.45296951884023
2,2,number,313.55014757111263
2,c,letter,275.1127767672331
2,3,number,346.12140293994213
2,b,letter,300.00965302632454
2,1,number,284.0780852430837
2,a,letter,271.6480439129594
2,2,number,279.5756494278165
2,c,letter,276.5708792726151
2,3,number,289.54189821661333
2,b,letter,296.7070094296664
2,1,number,312.8161965024703
2,a,letter,323.06398518036855
2,2,number,281.00862287263345
2,c,letter,300.087787352297
2,3,number,286.9690536259011
2,b,letter,273.672692128286
2,1,number,286.74762192413215
2,a,letter,315.7992598942726
2,2,number,262.7346077579048
2,c,letter,312.93782820966527
2,3,number,262.9784918728395
2,b,letter,285.19162319658915
2,1,number,311.34617425200935
2,a,letter,257.16444483149087
2,2,number,255.23676807278778
2,c,letter,253.95264625886577
2,3,number,280.52517463496434
2,b,letter,304.5489592641125
2,1,number,279.2348446228537
2,a,letter,280.62527761310184
2,2,number,305.98491795613506
2,c,letter,272.463667822787
2,3,number,275.59596815528874
2,b,letter,301.72240702265856
2,1,number,273.396724476451
2,a,letter,249.01961415779533
2,2,number,291.2875585058708
2,c,letter,276.69138522803115
2,3,number,289.3093805930148
2,b,letter,263.42337893431545
2,1,number,282.1365040194241
2,a,letter,301.9994460952993
2,2,number,279.8434945092335
2,c,letter,264.85853659318053
2,3,number,253.589910564687
2,b,letter,306.6101909868447
2,1,number,300.107837128268
2,a,letter,271.920976993396
2,2,number,302.40460513607536
2,c,letter,282.087981094199
2,3,number,293.0911257938214
2,b,letter,241.0715733107952
2,1,number,299.23691218787707
2,a,letter,289.24471811950787
2,2,number,292.92470114615753
2,c,letter,302.78516324997594
2,3,number,293.0955999021855
2,b,letter,283.83364098162554
2,1,number,303.6721778810355
2,a,letter,271.9185696133736
2,2,number,246.11904910473072
2,c,letter,317.5006384240094
2,3,number,286.3978923311738
2,b,letter,287.1805906838171
2,1,number,219.56357477935637
2,a,letter,322.27815092267093
2,2,number,272.12345693043375
2,c,letter,276.79448493780296
2,3,number,295.42013797143636
2,b,letter,291.55994790355476
2,1,number,270.8174522586474
2,a,letter,307.82921179799837
2,2,number,294.3366966514623
2,c,letter,263.01477629547657
2,3,number,268.26384526075543
2,b,letter,258.4681938114377
2,1,number,244.13080033826864
2,a,letter,269.3375029329753
